ID;Date;Date (Unix);Token;Token Symbol;Volume;Volume USD;Untracked Volume USD;Total Value Locked;Total Value Locked USD;Price USD;Fees USD;Open Price USD;High Price USD;Low Price USD;Close Price USD
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18751;04/05/2021, 02:00:00;1620086400;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;0.46245100726751524;0.0;0.0;14.725823011771650077;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18752;05/05/2021, 02:00:00;1620172800;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;3510.564151001753235085;12135224.36524149631375566;12135224.36524149631375566;12198.060044134996583617;42951953.979402661892694963;3521.211883200606281445;54101.576222289923444362;0.0;3540.018121003760070874;0.0;3521.211883200606281445
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18753;06/05/2021, 02:00:00;1620259200;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;46764.01974136224562903;162791105.916712874911701245;162791105.916712874911701245;38090.276498173538379055;132776793.888653851699788498;3485.844842712565069501;586471.824507821697037869;3521.211883200606281445;3591.384041488919631541;3371.525123042921033783;3485.844842712565069501
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18754;07/05/2021, 02:00:00;1620345600;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;82715.286045683544642578;287799589.276394086461811887;287799589.276394086461811887;55104.514055103799602874;191519001.008275312905603164;3475.559204038326061969;986139.647000018344140497;3485.844842712565069501;3572.887624563097649296;3383.607072376319537777;3475.559204038326061969
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18755;08/05/2021, 02:00:00;1620432000;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;143672.314721533040146686;527826332.915089704640579612;527826332.915089704640579612;37019.511204685534769824;144212766.381061075361267255;3895.588074723368092127;2808510.083360292621954348;3475.559204038326061969;3955.943378058316593938;3472.616260665884027109;3895.588074723368092127
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18756;09/05/2021, 02:00:00;1620518400;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;100800.898967223397703977;391537409.35301211410414526;391537409.35301211410414526;46078.766954142335662426;180239215.499605152680746116;3911.545976891688858124;1782359.603985593260311817;3895.588074723368092127;3975.968345320835756241;3753.917158337240392349;3911.545976891688858124
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18757;10/05/2021, 02:00:00;1620604800;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;159112.515352057085008975;645741937.449979903506978909;645741937.449979903506978909;41892.963482531958865032;165064925.046429617213389771;3940.158712220405980034;2851233.35471116614836055;3911.545976891688858124;4187.006829155599970025;3672.053499504163517036;3940.158712220405980034
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18758;11/05/2021, 02:00:00;1620691200;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;133557.496894122719097532;528428886.065750160994593598;528428886.065750160994593598;56764.531546134413282222;236840452.324443980975646505;4172.331663337270874308;2292522.312439119832435373;3940.158712220405980034;4172.331663337270874308;3720.900814809640900174;4172.331663337270874308
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18759;12/05/2021, 02:00:00;1620777600;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;249474.511017793590417889;1032772579.879887364080667553;1032772579.879887364080667553;83306.223443841984383889;313821482.565881656872864511;3767.083293332023138547;4159561.35997493948878602;4172.331663337270874308;4372.194452036843054635;3697.789376143719484777;3767.083293332023138547
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-18760;13/05/2021, 02:00:00;1620864000;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;WETH;347343.177969431871935921;1317459636.163098965621973478;1317459636.163098965621973478;112981.504822720852142241;419891955.340779716762979269;3716.466301273218972386;4581700.502294066158429275;3767.083293332023138547;4046.406910275608881853;3458.013436791461683582;3716.466301273218972386
