Time,Open,High,Low,Last,Change,%Chg,Volume
08/11/2023,24.2432,24.2432,24.1101,24.1549,-0.0883,-0.36%,11297
08/10/2023,24.2726,24.2794,24.1856,24.2432,-0.0302,-0.12%,27271
08/09/2023,24.2711,24.3058,24.2442,24.2734,0.0017,+0.01%,25850
08/08/2023,24.2335,24.2977,24.201,24.2717,0.0369,+0.15%,28301
08/07/2023,24.284,24.284,24.2162,24.2348,-0.0265,-0.11%,25349
08/04/2023,24.2359,24.2987,24.206,24.2613,0.0259,+0.11%,28084
08/03/2023,23.976,24.2571,23.958,24.2354,0.2599,+1.08%,29899
08/02/2023,23.9588,24.0031,23.8718,23.9755,0.0172,+0.07%,28862
08/01/2023,23.8914,23.9751,23.8676,23.9583,0.0666,+0.28%,26694
07/31/2023,24.06,24.06,23.8418,23.8917,-0.0768,-0.32%,27477
07/28/2023,24.069,24.1404,23.9614,23.9685,-0.1024,-0.43%,29685
07/27/2023,24.0405,24.0769,23.9963,24.0709,0.0325,+0.14%,28770
07/26/2023,24.0683,24.0869,24.0289,24.0384,-0.03,-0.12%,25766
07/25/2023,24.1294,24.1445,24.0119,24.0684,-0.0555,-0.23%,25153
07/24/2023,24.023,24.1753,24.0214,24.1239,0.0909,+0.38%,27362
07/21/2023,23.9761,24.0879,23.9555,24.033,0.0625,+0.26%,26817
07/20/2023,23.9132,24.0109,23.8911,23.9705,0.0576,+0.24%,27380
07/19/2023,23.8528,23.9625,23.8417,23.9129,0.058,+0.24%,28267
07/18/2023,23.7806,23.8667,23.7458,23.8549,0.077,+0.32%,27629
07/17/2023,23.7725,23.7937,23.7501,23.7779,0.011,+0.05%,24850
07/14/2023,23.7714,23.791,23.7532,23.7669,-0.0063,-0.03%,27252
07/13/2023,23.7873,23.8118,23.7463,23.7732,-0.014,-0.06%,24062
07/12/2023,23.856,23.8724,23.7766,23.7872,-0.0685,-0.29%,22357
07/11/2023,23.8357,23.8891,23.8243,23.8557,0.0217,+0.09%,21331
07/10/2023,23.8825,23.89,23.8252,23.834,-0.0066,-0.03%,22318
07/07/2023,23.9023,23.9674,23.8336,23.8406,-0.0619,-0.26%,23062
07/06/2023,23.7648,23.9067,23.745,23.9025,0.1375,+0.58%,23318
07/05/2023,23.7401,23.7831,23.7317,23.765,0.0237,+0.10%,20082
07/04/2023,23.734,23.7487,23.6895,23.7413,0.0099,+0.04%,15011
07/03/2023,23.779,23.779,23.7,23.7314,-0.0405,-0.17%,20281
06/30/2023,23.728,23.7782,23.6995,23.7719,0.041,+0.17%,21962
06/29/2023,23.6795,23.7457,23.6744,23.7309,0.0517,+0.22%,21220
06/28/2023,23.6275,23.7141,23.6034,23.6792,0.0506,+0.21%,20843
06/27/2023,23.6333,23.6612,23.5746,23.6286,-0.0046,-0.02%,21105
06/26/2023,23.6775,23.6795,23.6267,23.6332,0.0007,0.00%,18852
06/23/2023,23.6616,23.7076,23.6139,23.6325,-0.0293,-0.12%,21895
06/22/2023,23.7341,23.7439,23.6551,23.6618,-0.0722,-0.30%,21769
06/21/2023,23.761,23.7827,23.7265,23.734,-0.0273,-0.11%,22310
06/20/2023,23.7403,23.7946,23.7343,23.7613,0.0207,+0.09%,22531
06/19/2023,23.75,23.8313,23.7315,23.7406,-0.0501,-0.21%,10859
06/16/2023,23.7834,23.8377,23.7478,23.7907,0.0077,+0.03%,21990
06/15/2023,23.7901,23.8243,23.747,23.783,-0.0075,-0.03%,23034
06/14/2023,23.838,23.9209,23.7556,23.7905,-0.0477,-0.20%,20596
06/13/2023,23.7831,23.8434,23.7563,23.8382,0.055,+0.23%,22619
06/12/2023,23.7105,23.795,23.6506,23.7832,0.0957,+0.40%,20144
06/09/2023,23.666,23.7127,23.6335,23.6875,0.0212,+0.09%,20277
06/08/2023,23.6352,23.6818,23.6024,23.6663,0.0309,+0.13%,21632
06/07/2023,23.5534,23.6415,23.5534,23.6354,0.0819,+0.35%,21969
06/06/2023,23.5402,23.5773,23.5106,23.5535,0.0134,+0.06%,21193
06/05/2023,23.6825,23.6828,23.5185,23.5401,-0.077,-0.33%,19982
06/02/2023,23.682,23.6984,23.6099,23.6171,-0.0638,-0.27%,20147
06/01/2023,23.7201,23.7273,23.6596,23.6809,-0.0398,-0.17%,22922
05/31/2023,23.6892,23.7721,23.6775,23.7207,0.0313,+0.13%,22931
05/30/2023,23.6853,23.7614,23.6706,23.6894,0.0036,+0.02%,22446
05/29/2023,23.6895,23.737,23.6516,23.6858,0.0071,+0.03%,13948
05/26/2023,23.6125,23.6939,23.6025,23.6787,0.0659,+0.28%,22007
05/25/2023,23.6756,23.7015,23.5948,23.6128,-0.0626,-0.26%,22734
05/24/2023,23.6918,23.7177,23.6388,23.6754,-0.0163,-0.07%,23178
05/23/2023,23.6991,23.7194,23.6535,23.6917,-0.0078,-0.03%,21479
05/22/2023,23.757,23.7718,23.6608,23.6995,-0.0643,-0.27%,21164
05/19/2023,23.7148,23.7972,23.6997,23.7638,0.0475,+0.20%,22303
05/18/2023,23.6687,23.7576,23.6517,23.7163,0.0475,+0.20%,20830
05/17/2023,23.6671,23.7194,23.6129,23.6688,0.0015,+0.01%,21656
05/16/2023,23.6022,23.7021,23.6022,23.6673,0.0654,+0.28%,21970
05/15/2023,23.575,23.6403,23.534,23.6019,-0.0022,-0.01%,19673
05/12/2023,23.5516,23.6289,23.5416,23.6041,0.0525,+0.22%,20730
05/11/2023,23.4498,23.5592,23.4302,23.5516,0.102,+0.43%,23836
05/10/2023,23.4055,23.4858,23.3832,23.4496,0.0442,+0.19%,22144
05/09/2023,23.4,23.4169,23.3455,23.4054,0.0056,+0.02%,20041
05/08/2023,23.4025,23.4554,23.3858,23.3998,0.0127,+0.05%,18882
05/05/2023,23.4287,23.449,23.371,23.3871,-0.0415,-0.18%,21402
05/04/2023,23.5145,23.5197,23.4217,23.4286,-0.0856,-0.36%,24538
05/03/2023,23.6014,23.6098,23.4754,23.5142,-0.0875,-0.37%,20911
