Time,Open,High,Low,Last,Change,%Chg,Volume
08/11/2023,1.0981,1.10049,1.0943,1.09479,-0.00315,-0.29%,281942
08/10/2023,1.09742,1.10645,1.09674,1.09794,0.00055,+0.05%,298818
08/09/2023,1.09568,1.09954,1.09521,1.09739,0.00179,+0.16%,262150
08/08/2023,1.10027,1.10109,1.09294,1.0956,-0.00464,-0.42%,286630
08/07/2023,1.10122,1.10141,1.09656,1.10024,-0.00089,-0.08%,241416
08/04/2023,1.09491,1.10418,1.0935,1.10113,0.00634,+0.58%,297390
08/03/2023,1.0938,1.09625,1.09125,1.09479,0.001,+0.09%,306125
08/02/2023,1.09845,1.10201,1.09183,1.09379,-0.00462,-0.42%,328349
08/01/2023,1.09969,1.10031,1.09525,1.09841,-0.00128,-0.12%,256906
07/31/2023,1.1022,1.10457,1.09936,1.09969,-0.002,-0.18%,278287
07/28/2023,1.09778,1.10471,1.09436,1.10169,0.00392,+0.36%,372238
07/27/2023,1.10859,1.11496,1.0966,1.09777,-0.01095,-0.99%,363272
07/26/2023,1.10555,1.11065,1.1038,1.10872,0.00316,+0.29%,301238
07/25/2023,1.10642,1.1087,1.10212,1.10556,-0.00087,-0.08%,251634
07/24/2023,1.11266,1.11466,1.10604,1.10643,-0.00614,-0.55%,270842
07/21/2023,1.113,1.1145,1.11081,1.11257,-0.00042,-0.04%,261588
07/20/2023,1.12023,1.12292,1.11187,1.11299,-0.00721,-0.64%,287377
07/19/2023,1.12285,1.12401,1.1175,1.1202,-0.00263,-0.23%,288859
07/18/2023,1.12378,1.12754,1.12093,1.12283,-0.00124,-0.11%,292870
07/17/2023,1.12334,1.12488,1.12038,1.12407,0.00117,+0.10%,221297
07/14/2023,1.12262,1.12448,1.12046,1.1229,0.0003,+0.03%,289740
07/13/2023,1.11303,1.1228,1.11286,1.1226,0.00958,+0.86%,239116
07/12/2023,1.10088,1.11404,1.10058,1.11302,0.01214,+1.10%,245651
07/11/2023,1.10014,1.10264,1.09774,1.10088,0.00082,+0.07%,204679
07/10/2023,1.09655,1.10016,1.09437,1.10006,0.00311,+0.28%,212500
07/07/2023,1.08917,1.09733,1.08672,1.09695,0.00778,+0.71%,226524
07/06/2023,1.0854,1.09001,1.08339,1.08917,0.00377,+0.35%,244409
07/05/2023,1.08795,1.09078,1.08511,1.0854,-0.00239,-0.22%,204737
07/04/2023,1.09133,1.09187,1.08774,1.08779,-0.00355,-0.33%,128909
07/03/2023,1.09138,1.09339,1.08705,1.09134,0.0001,+0.01%,185714
06/30/2023,1.08637,1.09317,1.08355,1.09124,0.00488,+0.45%,224681
06/29/2023,1.09138,1.09413,1.08605,1.08636,-0.00501,-0.46%,219624
06/28/2023,1.09611,1.09655,1.08974,1.09137,-0.00474,-0.43%,221932
06/27/2023,1.09052,1.09766,1.09024,1.09611,0.00561,+0.51%,213796
06/26/2023,1.09106,1.09201,1.08876,1.0905,0.00106,+0.10%,188752
06/23/2023,1.0956,1.09624,1.08446,1.08944,-0.00615,-0.56%,239446
06/22/2023,1.09865,1.10109,1.09489,1.09559,-0.00306,-0.28%,221558
06/21/2023,1.09182,1.09909,1.0906,1.09865,0.00685,+0.63%,233652
06/20/2023,1.09219,1.0946,1.08932,1.0918,-0.00039,-0.04%,218739
06/19/2023,1.09384,1.09467,1.09074,1.09219,-0.00205,-0.19%,104131
06/16/2023,1.0945,1.09706,1.09184,1.09424,-0.00027,-0.02%,209125
06/15/2023,1.08325,1.09525,1.08039,1.09451,0.01128,+1.04%,221157
06/14/2023,1.07936,1.08638,1.07747,1.08323,0.00387,+0.36%,219790
06/13/2023,1.07573,1.08237,1.07561,1.07936,0.00356,+0.33%,222061
06/12/2023,1.07545,1.079,1.07332,1.0758,0.00089,+0.08%,178420
06/09/2023,1.07823,1.07859,1.07429,1.07491,-0.00332,-0.31%,180342
06/08/2023,1.06988,1.07867,1.06968,1.07823,0.00835,+0.78%,196045
06/07/2023,1.06931,1.07395,1.06686,1.06988,0.00058,+0.05%,194586
06/06/2023,1.07131,1.07327,1.06672,1.0693,-0.002,-0.19%,186347
06/05/2023,1.07158,1.07224,1.06746,1.0713,0.00052,+0.05%,186695
06/02/2023,1.07619,1.07789,1.07053,1.07078,-0.00542,-0.50%,204736
06/01/2023,1.06896,1.07685,1.06619,1.0762,0.00724,+0.68%,229930
05/31/2023,1.07347,1.07359,1.06354,1.06896,-0.0045,-0.42%,247928
05/30/2023,1.07083,1.07467,1.06728,1.07346,0.00241,+0.23%,229545
05/29/2023,1.0724,1.07434,1.07058,1.07105,-0.00166,-0.15%,105199
05/26/2023,1.07252,1.07586,1.07018,1.07271,0.00017,+0.02%,235238
05/25/2023,1.07498,1.07571,1.07077,1.07254,-0.00244,-0.23%,231246
05/24/2023,1.0771,1.08012,1.07481,1.07498,-0.00208,-0.19%,238697
05/23/2023,1.0813,1.08206,1.07602,1.07706,-0.00423,-0.39%,227100
05/22/2023,1.08123,1.08313,1.07958,1.08129,0.00066,+0.06%,207983
05/19/2023,1.077,1.08288,1.076,1.08063,0.00363,+0.34%,233214
05/18/2023,1.08397,1.0848,1.07625,1.077,-0.00696,-0.64%,204208
05/17/2023,1.08631,1.08736,1.08103,1.08396,-0.00236,-0.22%,204914
05/16/2023,1.08743,1.09043,1.08551,1.08632,-0.00111,-0.10%,220560
05/15/2023,1.08627,1.08907,1.0848,1.08743,0.00245,+0.23%,181016
05/12/2023,1.09157,1.09353,1.0848,1.08498,-0.00658,-0.60%,207245
05/11/2023,1.09825,1.09982,1.09001,1.09156,-0.0067,-0.61%,243259
05/10/2023,1.09611,1.10066,1.09417,1.09826,0.00217,+0.20%,227261
05/09/2023,1.10038,1.10065,1.09415,1.09609,-0.00428,-0.39%,203096
05/08/2023,1.10335,1.10537,1.10001,1.10037,-0.00139,-0.13%,174417
05/05/2023,1.10127,1.10477,1.09673,1.10176,0.00049,+0.04%,226975
05/04/2023,1.10625,1.10914,1.09866,1.10127,-0.00499,-0.45%,292391
05/03/2023,1.09995,1.10912,1.09995,1.10626,0.00632,+0.57%,241184
05/02/2023,1.09764,1.10082,1.09425,1.09994,0.0023,+0.21%,230881
05/01/2023,1.10367,1.10371,1.09645,1.09764,-0.00404,-0.37%,176728
04/28/2023,1.10285,1.10452,1.09629,1.10168,-0.00117,-0.11%,275617
04/27/2023,1.10406,1.10635,1.09924,1.10285,-0.00119,-0.11%,232092
04/26/2023,1.09737,1.10947,1.09685,1.10404,0.00665,+0.61%,256412
04/25/2023,1.10463,1.10672,1.09641,1.09739,-0.00723,-0.65%,217416
